Source_File,Title
architectural_concepts.csv,J2EE Misconfiguration: Insufficient Session-ID Length
architectural_concepts.csv,External Control of System or Configuration Setting
architectural_concepts.csv,Improper Input Validation
architectural_concepts.csv,Improper Link Resolution Before File Access ('Link Following')
architectural_concepts.csv,External Control of File Name or Path
architectural_concepts.csv,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
architectural_concepts.csv,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)
architectural_concepts.csv,Improper Neutralization of Equivalent Special Elements
architectural_concepts.csv,Improper Neutralization of Special Elements used in a Command ('Command Injection')
architectural_concepts.csv,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
architectural_concepts.csv,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
architectural_concepts.csv,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
architectural_concepts.csv,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
architectural_concepts.csv,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')
architectural_concepts.csv,XML Injection (aka Blind XPath Injection)
architectural_concepts.csv,Improper Neutralization of CRLF Sequences ('CRLF Injection')
architectural_concepts.csv,Improper Control of Generation of Code ('Code Injection')
architectural_concepts.csv,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')
architectural_concepts.csv,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')
architectural_concepts.csv,Improper Neutralization of Server-Side Includes (SSI) Within a Web Page
architectural_concepts.csv,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
architectural_concepts.csv,Improper Control of Resource Identifiers ('Resource Injection')
architectural_concepts.csv,Process Control
architectural_concepts.csv,Improper Output Neutralization for Logs
architectural_concepts.csv,Improper Neutralization of Special Elements
architectural_concepts.csv,"Improper Neutralization of Escape, Meta, or Control Sequences"
architectural_concepts.csv,Insertion of Sensitive Information Into Sent Data
architectural_concepts.csv,Observable Timing Discrepancy
architectural_concepts.csv,Generation of Error Message Containing Sensitive Information
architectural_concepts.csv,Self-generated Error Message Containing Sensitive Information
architectural_concepts.csv,Externally-Generated Error Message Containing Sensitive Information
architectural_concepts.csv,Improper Removal of Sensitive Information Before Storage or Transfer
architectural_concepts.csv,Invocation of Process Using Visible Sensitive Information
architectural_concepts.csv,Storage of File with Sensitive Data Under Web Root
architectural_concepts.csv,Storage of File With Sensitive Data Under FTP Root
architectural_concepts.csv,Omission of Security-relevant Information
architectural_concepts.csv,Obscured Security-relevant Information by Alternate Name
architectural_concepts.csv,Creation of chroot Jail Without Changing Working Directory
architectural_concepts.csv,Execution with Unnecessary Privileges
architectural_concepts.csv,Plaintext Storage of a Password
architectural_concepts.csv,Storing Passwords in a Recoverable Format
architectural_concepts.csv,Empty Password in Configuration File
architectural_concepts.csv,Use of Hard-coded Password
architectural_concepts.csv,Password in Configuration File
architectural_concepts.csv,Weak Encoding for Password
architectural_concepts.csv,Not Using Password Aging
architectural_concepts.csv,Password Aging with Long Expiration
architectural_concepts.csv,Incorrect Privilege Assignment
architectural_concepts.csv,Privilege Defined With Unsafe Actions
architectural_concepts.csv,Privilege Chaining
architectural_concepts.csv,Improper Privilege Management
architectural_concepts.csv,Privilege Context Switching Error
architectural_concepts.csv,Privilege Dropping / Lowering Errors
architectural_concepts.csv,Least Privilege Violation
architectural_concepts.csv,Improper Check for Dropped Privileges
architectural_concepts.csv,Improper Handling of Insufficient Privileges
architectural_concepts.csv,Incorrect Default Permissions
architectural_concepts.csv,Insecure Inherited Permissions
architectural_concepts.csv,Incorrect Execution-Assigned Permissions
architectural_concepts.csv,Improper Handling of Insufficient Permissions or Privileges
architectural_concepts.csv,Improper Preservation of Permissions
architectural_concepts.csv,Improper Ownership Management
architectural_concepts.csv,Unverified Ownership
architectural_concepts.csv,Improper Access Control
architectural_concepts.csv,Improper Authorization
architectural_concepts.csv,Incorrect User Management
architectural_concepts.csv,Improper Authentication
architectural_concepts.csv,Authentication Bypass Using an Alternate Path or Channel
architectural_concepts.csv,Authentication Bypass by Alternate Name
architectural_concepts.csv,Authentication Bypass by Spoofing
architectural_concepts.csv,Reliance on IP Address for Authentication
architectural_concepts.csv,Using Referer Field for Authentication
architectural_concepts.csv,Authentication Bypass by Capture-replay
architectural_concepts.csv,Improper Certificate Validation
architectural_concepts.csv,Improper Following of a Certificate's Chain of Trust
architectural_concepts.csv,Improper Validation of Certificate with Host Mismatch
architectural_concepts.csv,Improper Validation of Certificate Expiration
architectural_concepts.csv,Improper Check for Certificate Revocation
architectural_concepts.csv,Channel Accessible by Non-Endpoint
architectural_concepts.csv,Reflection Attack in an Authentication Protocol
architectural_concepts.csv,Authentication Bypass by Assumed-Immutable Data
architectural_concepts.csv,Incorrect Implementation of Authentication Algorithm
architectural_concepts.csv,Missing Critical Step in Authentication
architectural_concepts.csv,Authentication Bypass by Primary Weakness
architectural_concepts.csv,Missing Authentication for Critical Function
architectural_concepts.csv,Improper Restriction of Excessive Authentication Attempts
architectural_concepts.csv,Use of Single-factor Authentication
